dataset_id,site_name,site_property,value
ANBG_2019,site_at_-29.0258_degS_and_167.9411_degE,latitude (deg),-29.0258
ANBG_2019,site_at_-29.0258_degS_and_167.9411_degE,longitude (deg),167.9411
ANBG_2019,site_at_-29.0258_degS_and_167.9411_degE,collector,"North, T.G."
ANBG_2019,site_at_-29.0258_degS_and_167.9411_degE,locality,CULTIVATED Norfolk Island Botanic Gardens.
ANBG_2019,site_at_-29.0333_degS_and_167.95_degE,latitude (deg),-29.0333
ANBG_2019,site_at_-29.0333_degS_and_167.95_degE,longitude (deg),167.95
ANBG_2019,site_at_-29.0333_degS_and_167.95_degE,collector,"Boden, R.W."
ANBG_2019,site_at_-29.0333_degS_and_167.95_degE,locality,"PHILIP ISLAND South Pacific, near Norfolk Island."
ANBG_2019,site_at_-29.0497_degS_and_167.9697_degE,latitude (deg),-29.0497
ANBG_2019,site_at_-29.0497_degS_and_167.9697_degE,longitude (deg),167.9697
ANBG_2019,site_at_-29.0497_degS_and_167.9697_degE,collector,"Guja, L.K."
ANBG_2019,site_at_-29.0497_degS_and_167.9697_degE,locality,CULTIVATED Norfolk Island; private property of Duncan Sanderson.
ANBG_2019,site_at_-29.0531_degS_and_167.9706_degE,latitude (deg),-29.0531
ANBG_2019,site_at_-29.0531_degS_and_167.9706_degE,longitude (deg),167.9706
ANBG_2019,site_at_-29.0531_degS_and_167.9706_degE,collector,"North, T.G."
ANBG_2019,site_at_-29.0531_degS_and_167.9706_degE,locality,"Duncan Sandersons property, Rooty Hill Road; lowest gully on the farm."
ANBG_2019,site_at_-29.0878_degS_and_141.2136_degE,latitude (deg),-29.0878
ANBG_2019,site_at_-29.0878_degS_and_141.2136_degE,longitude (deg),141.2136
ANBG_2019,site_at_-29.0878_degS_and_141.2136_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-29.0878_degS_and_141.2136_degE,locality,Fort Grey Camping Ground. Sturt National Park.
ANBG_2019,site_at_-29.1194_degS_and_167.9464_degE,latitude (deg),-29.1194
ANBG_2019,site_at_-29.1194_degS_and_167.9464_degE,longitude (deg),167.9464
ANBG_2019,site_at_-29.1194_degS_and_167.9464_degE,collector,"North, T.G."
ANBG_2019,site_at_-29.1194_degS_and_167.9464_degE,locality,"Norfolk Island National Park; Phillip Island, W end."
ANBG_2019,site_at_-29.1219_degS_and_167.9508_degE,latitude (deg),-29.1219
ANBG_2019,site_at_-29.1219_degS_and_167.9508_degE,longitude (deg),167.9508
ANBG_2019,site_at_-29.1219_degS_and_167.9508_degE,collector,"North, T.G."
ANBG_2019,site_at_-29.1219_degS_and_167.9508_degE,locality,"Norfolk Island National Park; Phillip Island; 20 m E of Summit track, 400 m from Parks Hut."
ANBG_2019,site_at_-29.125_degS_and_167.9494_degE,latitude (deg),-29.125
ANBG_2019,site_at_-29.125_degS_and_167.9494_degE,longitude (deg),167.9494
ANBG_2019,site_at_-29.125_degS_and_167.9494_degE,collector,"North, T.G."
ANBG_2019,site_at_-29.125_degS_and_167.9494_degE,locality,Norfolk Island National Park; Phillip Island; Red Stone Peak.
ANBG_2019,site_at_-29.2014_degS_and_151.5392_degE,latitude (deg),-29.2014
ANBG_2019,site_at_-29.2014_degS_and_151.5392_degE,longitude (deg),151.5392
ANBG_2019,site_at_-29.2014_degS_and_151.5392_degE,collector,"Cayzer, L.W."
ANBG_2019,site_at_-29.2014_degS_and_151.5392_degE,locality,"Torrington National Park, roadside, base of Jonquill Hill on south side."
ANBG_2019,site_at_-29.21_degS_and_115.1989_degE,latitude (deg),-29.21
ANBG_2019,site_at_-29.21_degS_and_115.1989_degE,longitude (deg),115.1989
ANBG_2019,site_at_-29.21_degS_and_115.1989_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.21_degS_and_115.1989_degE,locality,28.6 km W along the Midlands Road from Dongara.
ANBG_2019,site_at_-29.2175_degS_and_152.6717_degE,latitude (deg),-29.2175
ANBG_2019,site_at_-29.2175_degS_and_152.6717_degE,longitude (deg),152.6717
ANBG_2019,site_at_-29.2175_degS_and_152.6717_degE,collector,"Nightingale, J."
ANBG_2019,site_at_-29.2175_degS_and_152.6717_degE,locality,"Mt Neville, N side, Richmond Range, 19 km WNW of Whiporie on Casino Road."
ANBG_2019,site_at_-29.2306_degS_and_151.69_degE,latitude (deg),-29.2306
ANBG_2019,site_at_-29.2306_degS_and_151.69_degE,longitude (deg),151.69
ANBG_2019,site_at_-29.2306_degS_and_151.69_degE,collector,"Cayzer, L.W."
ANBG_2019,site_at_-29.2306_degS_and_151.69_degE,locality,"Torrington National Park, 5.3 km from base of Jonquil HIll, main road."
ANBG_2019,site_at_-29.2581_degS_and_146.3081_degE,latitude (deg),-29.2581
ANBG_2019,site_at_-29.2581_degS_and_146.3081_degE,longitude (deg),146.3081
ANBG_2019,site_at_-29.2581_degS_and_146.3081_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.2581_degS_and_146.3081_degE,locality,"Wilganea, 10 km towards Jobs Gate along Nulty Springs Road. 85 km NE of Bourke."
ANBG_2019,site_at_-29.2736_degS_and_117.6708_degE,latitude (deg),-29.2736
ANBG_2019,site_at_-29.2736_degS_and_117.6708_degE,longitude (deg),117.6708
ANBG_2019,site_at_-29.2736_degS_and_117.6708_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.2736_degS_and_117.6708_degE,locality,1.3 km SW of Paynes Find toward Wubin on Great Northern Highway.
ANBG_2019,site_at_-29.2833_degS_and_117.6453_degE,latitude (deg),-29.2833
ANBG_2019,site_at_-29.2833_degS_and_117.6453_degE,longitude (deg),117.6453
ANBG_2019,site_at_-29.2833_degS_and_117.6453_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.2833_degS_and_117.6453_degE,locality,"4.4 km SW of Paynes Find towards Wubin, on Great Northern Highway."
ANBG_2019,site_at_-29.2833_degS_and_146.31_degE,latitude (deg),-29.2833
ANBG_2019,site_at_-29.2833_degS_and_146.31_degE,longitude (deg),146.31
ANBG_2019,site_at_-29.2833_degS_and_146.31_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.2833_degS_and_146.31_degE,locality,"Wilganea, 3.7 km towards Jobs Gate along Nulty Springs Road."
ANBG_2019,site_at_-29.3_degS_and_142.0333_degE,latitude (deg),-29.3
ANBG_2019,site_at_-29.3_degS_and_142.0333_degE,longitude (deg),142.0333
ANBG_2019,site_at_-29.3_degS_and_142.0333_degE,collector,"Hadlow, R.B."
ANBG_2019,site_at_-29.3_degS_and_142.0333_degE,locality,c. 17.4 km N of Tibooburra on road to Warri Gate.
ANBG_2019,site_at_-29.3019_degS_and_151.6497_degE,latitude (deg),-29.3019
ANBG_2019,site_at_-29.3019_degS_and_151.6497_degE,longitude (deg),151.6497
ANBG_2019,site_at_-29.3019_degS_and_151.6497_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-29.3019_degS_and_151.6497_degE,locality,"At the turnoff to Mystery Face, Torrington National Park."
ANBG_2019,site_at_-29.3117_degS_and_146.15_degE,latitude (deg),-29.3117
ANBG_2019,site_at_-29.3117_degS_and_146.15_degE,longitude (deg),146.15
ANBG_2019,site_at_-29.3117_degS_and_146.15_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.3117_degS_and_146.15_degE,locality,"Beulah claypan, Lednapper Crossing area, NE of Bourke."
ANBG_2019,site_at_-29.32_degS_and_151.6667_degE,latitude (deg),-29.32
ANBG_2019,site_at_-29.32_degS_and_151.6667_degE,longitude (deg),151.6667
ANBG_2019,site_at_-29.32_degS_and_151.6667_degE,collector,"Fethers, S."
ANBG_2019,site_at_-29.32_degS_and_151.6667_degE,locality,"Torrington Recreation Area, West Town Fire Trail."
ANBG_2019,site_at_-29.3222_degS_and_117.3469_degE,latitude (deg),-29.3222
ANBG_2019,site_at_-29.3222_degS_and_117.3469_degE,longitude (deg),117.3469
ANBG_2019,site_at_-29.3222_degS_and_117.3469_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.3222_degS_and_117.3469_degE,locality,35 km SW of Paynes Find toward Wubin on Great Northern Highway.
ANBG_2019,site_at_-29.3333_degS_and_151.8833_degE,latitude (deg),-29.3333
ANBG_2019,site_at_-29.3333_degS_and_151.8833_degE,longitude (deg),151.8833
ANBG_2019,site_at_-29.3333_degS_and_151.8833_degE,collector,"Beesley, P."
ANBG_2019,site_at_-29.3333_degS_and_151.8833_degE,locality,"c. 16 km from Deepwater along road to Tenterfield, c. 1.5 km NE of Little Bolivia Hill, c. 400 m W of road."
ANBG_2019,site_at_-29.3333_degS_and_153_degE,latitude (deg),-29.3333
ANBG_2019,site_at_-29.3333_degS_and_153_degE,longitude (deg),153
ANBG_2019,site_at_-29.3333_degS_and_153_degE,collector,"Hadlow, B."
ANBG_2019,site_at_-29.3333_degS_and_153_degE,locality,40 km N of Grafton on Grafton-Casino road.
ANBG_2019,site_at_-29.3417_degS_and_115.8467_degE,latitude (deg),-29.3417
ANBG_2019,site_at_-29.3417_degS_and_115.8467_degE,longitude (deg),115.8467
ANBG_2019,site_at_-29.3417_degS_and_115.8467_degE,collector,"Chandler, G.T."
ANBG_2019,site_at_-29.3417_degS_and_115.8467_degE,locality,26km E of Arrino towards Morawa.
ANBG_2019,site_at_-29.35_degS_and_151.9167_degE,latitude (deg),-29.35
ANBG_2019,site_at_-29.35_degS_and_151.9167_degE,longitude (deg),151.9167
ANBG_2019,site_at_-29.35_degS_and_151.9167_degE,collector,"Murray, L."
ANBG_2019,site_at_-29.35_degS_and_151.9167_degE,locality,"Bolivia Mountain, N Side, beside road."
ANBG_2019,site_at_-29.35_degS_and_152.0667_degE,latitude (deg),-29.35
ANBG_2019,site_at_-29.35_degS_and_152.0667_degE,longitude (deg),152.0667
ANBG_2019,site_at_-29.35_degS_and_152.0667_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.35_degS_and_152.0667_degE,locality,Mt Spirabo State Forest 529
ANBG_2019,site_at_-29.355_degS_and_151.9_degE,latitude (deg),-29.355
ANBG_2019,site_at_-29.355_degS_and_151.9_degE,longitude (deg),151.9
ANBG_2019,site_at_-29.355_degS_and_151.9_degE,collector,"Fethers, S."
ANBG_2019,site_at_-29.355_degS_and_151.9_degE,locality,"Bolivia Hill Nature Reserve, 2 km SE of Bolivia Hill."
ANBG_2019,site_at_-29.3667_degS_and_117.8167_degE,latitude (deg),-29.3667
ANBG_2019,site_at_-29.3667_degS_and_117.8167_degE,longitude (deg),117.8167
ANBG_2019,site_at_-29.3667_degS_and_117.8167_degE,collector,"Flowers, G."
ANBG_2019,site_at_-29.3667_degS_and_117.8167_degE,locality,"1 km N of Maranalgo Homestead on Maroubra Road, towards Paynes Find."
ANBG_2019,site_at_-29.3667_degS_and_146.1333_degE,latitude (deg),-29.3667
ANBG_2019,site_at_-29.3667_degS_and_146.1333_degE,longitude (deg),146.1333
ANBG_2019,site_at_-29.3667_degS_and_146.1333_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.3667_degS_and_146.1333_degE,locality,2.1 km from Beulah entrance along access road towards Lednapper Crossing Road.
ANBG_2019,site_at_-29.3831_degS_and_146.1494_degE,latitude (deg),-29.3831
ANBG_2019,site_at_-29.3831_degS_and_146.1494_degE,longitude (deg),146.1494
ANBG_2019,site_at_-29.3831_degS_and_146.1494_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.3831_degS_and_146.1494_degE,locality,"Lednapper Nature Reserve, Beulah gate. 90 km ENE of Bourke."
ANBG_2019,site_at_-29.4047_degS_and_142.0275_degE,latitude (deg),-29.4047
ANBG_2019,site_at_-29.4047_degS_and_142.0275_degE,longitude (deg),142.0275
ANBG_2019,site_at_-29.4047_degS_and_142.0275_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-29.4047_degS_and_142.0275_degE,locality,2.5 km N of the Dead Horse Gully on the Silver City Highway. Sturt National Park.
ANBG_2019,site_at_-29.4169_degS_and_146.1531_degE,latitude (deg),-29.4169
ANBG_2019,site_at_-29.4169_degS_and_146.1531_degE,longitude (deg),146.1531
ANBG_2019,site_at_-29.4169_degS_and_146.1531_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.4169_degS_and_146.1531_degE,locality,"6.7 km from Beulah homestead on access track, towards Lednapper Crossing Road."
ANBG_2019,site_at_-29.4333_degS_and_141.8333_degE,latitude (deg),-29.4333
ANBG_2019,site_at_-29.4333_degS_and_141.8333_degE,longitude (deg),141.8333
ANBG_2019,site_at_-29.4333_degS_and_141.8333_degE,collector,"Hadlow, R.B."
ANBG_2019,site_at_-29.4333_degS_and_141.8333_degE,locality,"9.9 km from Silver City Highway, near Camerons Corner-Tibooburra road."
ANBG_2019,site_at_-29.4333_degS_and_142.0167_degE,latitude (deg),-29.4333
ANBG_2019,site_at_-29.4333_degS_and_142.0167_degE,longitude (deg),142.0167
ANBG_2019,site_at_-29.4333_degS_and_142.0167_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.4333_degS_and_142.0167_degE,locality,"Tibooburra, 400 m N of Pub."
ANBG_2019,site_at_-29.4333_degS_and_142.145_degE,latitude (deg),-29.4333
ANBG_2019,site_at_-29.4333_degS_and_142.145_degE,longitude (deg),142.145
ANBG_2019,site_at_-29.4333_degS_and_142.145_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.4333_degS_and_142.145_degE,locality,Tibooburra airport.
ANBG_2019,site_at_-29.4333_degS_and_146.1186_degE,latitude (deg),-29.4333
ANBG_2019,site_at_-29.4333_degS_and_146.1186_degE,longitude (deg),146.1186
ANBG_2019,site_at_-29.4333_degS_and_146.1186_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.4333_degS_and_146.1186_degE,locality,"Lednapper Crossing Road, 1 km from Enngonia turnoff, towards Bourke."
ANBG_2019,site_at_-29.4417_degS_and_151.35_degE,latitude (deg),-29.4417
ANBG_2019,site_at_-29.4417_degS_and_151.35_degE,longitude (deg),151.35
ANBG_2019,site_at_-29.4417_degS_and_151.35_degE,collector,"Paul, J."
ANBG_2019,site_at_-29.4417_degS_and_151.35_degE,locality,"Severn River Nature Reserve, 7.5 km W of Pindari Dam Wall, through access road on Claytons Chase."
ANBG_2019,site_at_-29.45_degS_and_124.8_degE,latitude (deg),-29.45
ANBG_2019,site_at_-29.45_degS_and_124.8_degE,longitude (deg),124.8
ANBG_2019,site_at_-29.45_degS_and_124.8_degE,collector,"Crisp, M.D."
ANBG_2019,site_at_-29.45_degS_and_124.8_degE,locality,"c. 35 km W of Plumridge Lakes, 8.5 km WNW of Salt Creek airstrip."
ANBG_2019,site_at_-29.4653_degS_and_152.8528_degE,latitude (deg),-29.4653
ANBG_2019,site_at_-29.4653_degS_and_152.8528_degE,longitude (deg),152.8528
ANBG_2019,site_at_-29.4653_degS_and_152.8528_degE,collector,"Taylor, D.A."
ANBG_2019,site_at_-29.4653_degS_and_152.8528_degE,locality,"Grafton to Coledale Road, 14.4 km N of Coledale turnoff, 35 km to Whiteman Creek Bridge."
ANBG_2019,site_at_-29.4833_degS_and_152.3167_degE,latitude (deg),-29.4833
ANBG_2019,site_at_-29.4833_degS_and_152.3167_degE,longitude (deg),152.3167
ANBG_2019,site_at_-29.4833_degS_and_152.3167_degE,collector,"Crisp, M.D."
ANBG_2019,site_at_-29.4833_degS_and_152.3167_degE,locality,"Gibraltar Range National Park, The Granites picnic area, 2.0 km ENE of Waratah Trig."
ANBG_2019,site_at_-29.5103_degS_and_153.3594_degE,latitude (deg),-29.5103
ANBG_2019,site_at_-29.5103_degS_and_153.3594_degE,longitude (deg),153.3594
ANBG_2019,site_at_-29.5103_degS_and_153.3594_degE,collector,"Taylor, D.A."
ANBG_2019,site_at_-29.5103_degS_and_153.3594_degE,locality,"Angourie, along walking track to Shelleys Beach at edge of Bold Knob, 150 m from Shelleys Beach."
ANBG_2019,site_at_-29.5164_degS_and_152.3578_degE,latitude (deg),-29.5164
ANBG_2019,site_at_-29.5164_degS_and_152.3578_degE,longitude (deg),152.3578
ANBG_2019,site_at_-29.5164_degS_and_152.3578_degE,collector,"Lyne, A.M."
ANBG_2019,site_at_-29.5164_degS_and_152.3578_degE,locality,"c. 65 km direct ENE of Glen Innes, Gibraltar Range National Park, along walking track c. 500 m direct NW of Mulligans Hut."
ANBG_2019,site_at_-29.5167_degS_and_153.35_degE,latitude (deg),-29.5167
ANBG_2019,site_at_-29.5167_degS_and_153.35_degE,longitude (deg),153.35
ANBG_2019,site_at_-29.5167_degS_and_153.35_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-29.5167_degS_and_153.35_degE,locality,c. 2 km S of Angourie.
ANBG_2019,site_at_-29.5419_degS_and_152.2675_degE,latitude (deg),-29.5419
ANBG_2019,site_at_-29.5419_degS_and_152.2675_degE,longitude (deg),152.2675
ANBG_2019,site_at_-29.5419_degS_and_152.2675_degE,collector,"Fethers, S."
ANBG_2019,site_at_-29.5419_degS_and_152.2675_degE,locality,"Gibraltar Range National Park, Tin Ore Creek."
ANBG_2019,site_at_-29.5508_degS_and_116.8325_degE,latitude (deg),-29.5508
ANBG_2019,site_at_-29.5508_degS_and_116.8325_degE,longitude (deg),116.8325
ANBG_2019,site_at_-29.5508_degS_and_116.8325_degE,collector,"Chandler, G.T."
ANBG_2019,site_at_-29.5508_degS_and_116.8325_degE,locality,km along Wanarra east Road from Mount Gibson towards Perenjori.
ANBG_2019,site_at_-29.5581_degS_and_146.0869_degE,latitude (deg),-29.5581
ANBG_2019,site_at_-29.5581_degS_and_146.0869_degE,longitude (deg),146.0869
ANBG_2019,site_at_-29.5581_degS_and_146.0869_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.5581_degS_and_146.0869_degE,locality,Lednapper Crossing - 4.2 km SW towards Mitchell Highway along Nulty Springs Road.
ANBG_2019,site_at_-29.5772_degS_and_117.1589_degE,latitude (deg),-29.5772
ANBG_2019,site_at_-29.5772_degS_and_117.1589_degE,longitude (deg),117.1589
ANBG_2019,site_at_-29.5772_degS_and_117.1589_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.5772_degS_and_117.1589_degE,locality,Mt Gibson area on NW side of Mt Gibson Range.
ANBG_2019,site_at_-29.5819_degS_and_151.3861_degE,latitude (deg),-29.5819
ANBG_2019,site_at_-29.5819_degS_and_151.3861_degE,longitude (deg),151.3861
ANBG_2019,site_at_-29.5819_degS_and_151.3861_degE,collector,"Paul, J."
ANBG_2019,site_at_-29.5819_degS_and_151.3861_degE,locality,"Kings Plains National Park, Kings Plain Creek, adjacent to carpark."
ANBG_2019,site_at_-29.5861_degS_and_151.3872_degE,latitude (deg),-29.5861
ANBG_2019,site_at_-29.5861_degS_and_151.3872_degE,longitude (deg),151.3872
ANBG_2019,site_at_-29.5861_degS_and_151.3872_degE,collector,"Paul, J."
ANBG_2019,site_at_-29.5861_degS_and_151.3872_degE,locality,"Kings Plains National Park, Kings Plain Creek, adjacent to carpark."
ANBG_2019,site_at_-29.6167_degS_and_121.1333_degE,latitude (deg),-29.6167
ANBG_2019,site_at_-29.6167_degS_and_121.1333_degE,longitude (deg),121.1333
ANBG_2019,site_at_-29.6167_degS_and_121.1333_degE,collector,"Cayzer, L.W."
ANBG_2019,site_at_-29.6167_degS_and_121.1333_degE,locality,"WA goldfields district, 7.8 km N of Menzies, both sides of road."
ANBG_2019,site_at_-29.6167_degS_and_152.4833_degE,latitude (deg),-29.6167
ANBG_2019,site_at_-29.6167_degS_and_152.4833_degE,longitude (deg),152.4833
ANBG_2019,site_at_-29.6167_degS_and_152.4833_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.6167_degS_and_152.4833_degE,locality,Cangai State Forest.
ANBG_2019,site_at_-29.6667_degS_and_115.2333_degE,latitude (deg),-29.6667
ANBG_2019,site_at_-29.6667_degS_and_115.2333_degE,longitude (deg),115.2333
ANBG_2019,site_at_-29.6667_degS_and_115.2333_degE,collector,"Hnatiuk, R."
ANBG_2019,site_at_-29.6667_degS_and_115.2333_degE,locality,"18.7 km N of Eneabba, beside Brand Highway."
ANBG_2019,site_at_-29.6833_degS_and_152.9667_degE,latitude (deg),-29.6833
ANBG_2019,site_at_-29.6833_degS_and_152.9667_degE,longitude (deg),152.9667
ANBG_2019,site_at_-29.6833_degS_and_152.9667_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.6833_degS_and_152.9667_degE,locality,without locality
ANBG_2019,site_at_-29.72_degS_and_145.9947_degE,latitude (deg),-29.72
ANBG_2019,site_at_-29.72_degS_and_145.9947_degE,longitude (deg),145.9947
ANBG_2019,site_at_-29.72_degS_and_145.9947_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.72_degS_and_145.9947_degE,locality,"Lednapper Crossing Road, 4.8 km NE of Mitchell Highway between Bourke and Enngonia."
ANBG_2019,site_at_-29.7667_degS_and_121.05_degE,latitude (deg),-29.7667
ANBG_2019,site_at_-29.7667_degS_and_121.05_degE,longitude (deg),121.05
ANBG_2019,site_at_-29.7667_degS_and_121.05_degE,collector,"Phillips, M.E."
ANBG_2019,site_at_-29.7667_degS_and_121.05_degE,locality,5 miles 8 km from Menzies towards Kalgoorlie.
ANBG_2019,site_at_-29.7833_degS_and_115.2667_degE,latitude (deg),-29.7833
ANBG_2019,site_at_-29.7833_degS_and_115.2667_degE,longitude (deg),115.2667
ANBG_2019,site_at_-29.7833_degS_and_115.2667_degE,collector,"Hnatiuk, R."
ANBG_2019,site_at_-29.7833_degS_and_115.2667_degE,locality,"Beside Brand Highway, 3.9 km N of Eneabba."
ANBG_2019,site_at_-29.7922_degS_and_141.9167_degE,latitude (deg),-29.7922
ANBG_2019,site_at_-29.7922_degS_and_141.9167_degE,longitude (deg),141.9167
ANBG_2019,site_at_-29.7922_degS_and_141.9167_degE,collector,"Bell, B.A."
ANBG_2019,site_at_-29.7922_degS_and_141.9167_degE,locality,"23 km S of Milparinka turnoff, on Silvercity Highway."
ANBG_2019,site_at_-29.8_degS_and_115.8472_degE,latitude (deg),-29.8
ANBG_2019,site_at_-29.8_degS_and_115.8472_degE,longitude (deg),115.8472
ANBG_2019,site_at_-29.8_degS_and_115.8472_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.8_degS_and_115.8472_degE,locality,"Yarra Yarra Lakes, 0.5 km S of intersection of Winchester Road and Winchester South Road."
ANBG_2019,site_at_-29.8167_degS_and_153.25_degE,latitude (deg),-29.8167
ANBG_2019,site_at_-29.8167_degS_and_153.25_degE,longitude (deg),153.25
ANBG_2019,site_at_-29.8167_degS_and_153.25_degE,collector,"Hadlow, B."
ANBG_2019,site_at_-29.8167_degS_and_153.25_degE,locality,"1km east of junction of Wooli/Diggers Camp Rd, on Diggers Camp Road."
ANBG_2019,site_at_-29.8167_degS_and_153.2667_degE,latitude (deg),-29.8167
ANBG_2019,site_at_-29.8167_degS_and_153.2667_degE,longitude (deg),153.2667
ANBG_2019,site_at_-29.8167_degS_and_153.2667_degE,collector,"Hadlow, B."
ANBG_2019,site_at_-29.8167_degS_and_153.2667_degE,locality,1.5 km W of Bare Point (Diggers Headland).
ANBG_2019,site_at_-29.8306_degS_and_115.2564_degE,latitude (deg),-29.8306
ANBG_2019,site_at_-29.8306_degS_and_115.2564_degE,longitude (deg),115.2564
ANBG_2019,site_at_-29.8306_degS_and_115.2564_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.8306_degS_and_115.2564_degE,locality,"200 m S of Lake Indoon turnoff, Brand Highway, 2.8 km S of Eneabba."
ANBG_2019,site_at_-29.8411_degS_and_115.2578_degE,latitude (deg),-29.8411
ANBG_2019,site_at_-29.8411_degS_and_115.2578_degE,longitude (deg),115.2578
ANBG_2019,site_at_-29.8411_degS_and_115.2578_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.8411_degS_and_115.2578_degE,locality,1.8 km S of Eneabba turn off on Brand Highway.
ANBG_2019,site_at_-29.875_degS_and_152.1228_degE,latitude (deg),-29.875
ANBG_2019,site_at_-29.875_degS_and_152.1228_degE,longitude (deg),152.1228
ANBG_2019,site_at_-29.875_degS_and_152.1228_degE,collector,"Lyne, A.M."
ANBG_2019,site_at_-29.875_degS_and_152.1228_degE,locality,"c. 20 km direct NNE of Tenterfield, c. 2.7km along road to Boonoo Boonoo National Park  from the Mount Lindsay Highway, at Swamp Creek, c. 100m upstream."
ANBG_2019,site_at_-29.9133_degS_and_116.1008_degE,latitude (deg),-29.9133
ANBG_2019,site_at_-29.9133_degS_and_116.1008_degE,longitude (deg),116.1008
ANBG_2019,site_at_-29.9133_degS_and_116.1008_degE,collector,"Flowers, G."
ANBG_2019,site_at_-29.9133_degS_and_116.1008_degE,locality,"Intersection of Jones and South Wadi Roads, 18 km SE of Coorow. Point plots c. 9 km by road ~SE of Coorow."
ANBG_2019,site_at_-29.9458_degS_and_151.0306_degE,latitude (deg),-29.9458
ANBG_2019,site_at_-29.9458_degS_and_151.0306_degE,longitude (deg),151.0306
ANBG_2019,site_at_-29.9458_degS_and_151.0306_degE,collector,"Copeland, L.M."
ANBG_2019,site_at_-29.9458_degS_and_151.0306_degE,locality,"Howell, 20 km SSW of Inverell, 300 m N of Howell Dam."
ANBG_2019,site_at_-29.9481_degS_and_116.2783_degE,latitude (deg),-29.9481
ANBG_2019,site_at_-29.9481_degS_and_116.2783_degE,longitude (deg),116.2783
ANBG_2019,site_at_-29.9481_degS_and_116.2783_degE,collector,"Flowers, G."
ANBG_2019,site_at_-29.9481_degS_and_116.2783_degE,locality,E block of Koobabbie Farm.
ANBG_2019,site_at_-29.9489_degS_and_116.1733_degE,latitude (deg),-29.9489
ANBG_2019,site_at_-29.9489_degS_and_116.1733_degE,longitude (deg),116.1733
ANBG_2019,site_at_-29.9489_degS_and_116.1733_degE,collector,"Flowers, G."
ANBG_2019,site_at_-29.9489_degS_and_116.1733_degE,locality,On the N side of Koobabbie Lake on Koobabbie Farm via Coorow.
ANBG_2019,site_at_-29.9494_degS_and_116.2861_degE,latitude (deg),-29.9494
ANBG_2019,site_at_-29.9494_degS_and_116.2861_degE,longitude (deg),116.2861
ANBG_2019,site_at_-29.9494_degS_and_116.2861_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-29.9494_degS_and_116.2861_degE,locality,Koolbabbie Farm. East block NE corner. NE of Marchagee.
ANBG_2019,site_at_-29.95_degS_and_115.7333_degE,latitude (deg),-29.95
ANBG_2019,site_at_-29.95_degS_and_115.7333_degE,longitude (deg),115.7333
ANBG_2019,site_at_-29.95_degS_and_115.7333_degE,collector,"Hadlow, B."
ANBG_2019,site_at_-29.95_degS_and_115.7333_degE,locality,"c. 3 km S of Launer Road on Brand Mudge Road, Coorow Shire."
ANBG_2019,site_at_-29.95_degS_and_153.25_degE,latitude (deg),-29.95
ANBG_2019,site_at_-29.95_degS_and_153.25_degE,longitude (deg),153.25
ANBG_2019,site_at_-29.95_degS_and_153.25_degE,collector,"Hadlow, B."
ANBG_2019,site_at_-29.95_degS_and_153.25_degE,locality,"40 km N of Coffs Harbour, 3 km NE along Station Creek Reserve Road from Pacific Highway/Yuragir National National Park turnoff."
ANBG_2019,site_at_-29.9667_degS_and_115.4_degE,latitude (deg),-29.9667
ANBG_2019,site_at_-29.9667_degS_and_115.4_degE,longitude (deg),115.4
ANBG_2019,site_at_-29.9667_degS_and_115.4_degE,collector,"Hnatiuk, R."
ANBG_2019,site_at_-29.9667_degS_and_115.4_degE,locality,"Beside Brand Highway, 34.4 km N of junction with Coomallo-Marchagee road, c. 18 km S of Eneabba."
ANBG_2019,site_at_-29.9753_degS_and_117.6739_degE,latitude (deg),-29.9753
ANBG_2019,site_at_-29.9753_degS_and_117.6739_degE,longitude (deg),117.6739
ANBG_2019,site_at_-29.9753_degS_and_117.6739_degE,collector,"Flowers, G."
